County,observation_date,Unemployment
Franklin,1/1/2010,9.9
Franklin,2/1/2010,9.7
Franklin,3/1/2010,9.6
Franklin,4/1/2010,9.1
Franklin,5/1/2010,8.7
Franklin,6/1/2010,9
Franklin,7/1/2010,9
Franklin,8/1/2010,8.7
Franklin,9/1/2010,8.4
Franklin,10/1/2010,8.3
Franklin,11/1/2010,8.3
Franklin,12/1/2010,7.9
Franklin,1/1/2011,8.6
Franklin,2/1/2011,8.2
Franklin,3/1/2011,7.9
Franklin,4/1/2011,7.5
Franklin,5/1/2011,7.7
Franklin,6/1/2011,8.4
Franklin,7/1/2011,8.4
Franklin,8/1/2011,8
Franklin,9/1/2011,7.7
Franklin,10/1/2011,7.3
Franklin,11/1/2011,6.7
Franklin,12/1/2011,6.6
Franklin,1/1/2012,7.3
Franklin,2/1/2012,7.1
Franklin,3/1/2012,6.7
Franklin,4/1/2012,6.1
Franklin,5/1/2012,6.1
Franklin,6/1/2012,6.7
Franklin,7/1/2012,6.8
Franklin,8/1/2012,6.4
Franklin,9/1/2012,6
Franklin,10/1/2012,5.9
Franklin,11/1/2012,5.8
Franklin,12/1/2012,6.1
Franklin,1/1/2013,7.4
Franklin,2/1/2013,6.9
Franklin,3/1/2013,6.5
Franklin,4/1/2013,6
Franklin,5/1/2013,6.3
Franklin,6/1/2013,7
Franklin,7/1/2013,6.8
Franklin,8/1/2013,6.5
Franklin,9/1/2013,6.5
Franklin,10/1/2013,6.3
Franklin,11/1/2013,5.8
Franklin,12/1/2013,5.3
Franklin,1/1/2014,6.1
Franklin,2/1/2014,5.8
Franklin,3/1/2014,5.4
Franklin,4/1/2014,4.4
Franklin,5/1/2014,4.7
Franklin,6/1/2014,5.1
Franklin,7/1/2014,5.2
Franklin,8/1/2014,4.9
Franklin,9/1/2014,4.6
Franklin,10/1/2014,4.3
Franklin,11/1/2014,4.2
Franklin,12/1/2014,4
Franklin,1/1/2015,4.9
Franklin,2/1/2015,4.4
Franklin,3/1/2015,4.2
Franklin,4/1/2015,3.9
Franklin,5/1/2015,4.1
Franklin,6/1/2015,4.4
Franklin,7/1/2015,4.2
Franklin,8/1/2015,3.8
Franklin,9/1/2015,3.8
Franklin,10/1/2015,3.9
Franklin,11/1/2015,3.9
Franklin,12/1/2015,3.9
Franklin,1/1/2016,4.5
Franklin,2/1/2016,4.3
Franklin,3/1/2016,4.3
Franklin,4/1/2016,3.9
Franklin,5/1/2016,3.7
Franklin,6/1/2016,4.3
Franklin,7/1/2016,4.2
Franklin,8/1/2016,4.2
Franklin,9/1/2016,4.3
Franklin,10/1/2016,4.2
Franklin,11/1/2016,3.9
Franklin,12/1/2016,4.1
Franklin,1/1/2017,4.8
Franklin,2/1/2017,4.5
Franklin,3/1/2017,4.1
Franklin,4/1/2017,3.7
Franklin,5/1/2017,3.8
Franklin,6/1/2017,4.4
Franklin,7/1/2017,4.3
Franklin,8/1/2017,4.4
Franklin,9/1/2017,4
Franklin,10/1/2017,3.8
Franklin,11/1/2017,3.7
Franklin,12/1/2017,3.6
Franklin,1/1/2018,4
Franklin,2/1/2018,3.9
Franklin,3/1/2018,3.8
Franklin,4/1/2018,3.6
Franklin,5/1/2018,3.5
Franklin,6/1/2018,4.4
Franklin,7/1/2018,4
Franklin,8/1/2018,3.9
Franklin,9/1/2018,3.7
Franklin,10/1/2018,3.7
Franklin,11/1/2018,3.5
Franklin,12/1/2018,3.8
Franklin,1/1/2019,4.2
Franklin,2/1/2019,3.6
Franklin,3/1/2019,3.5
Franklin,4/1/2019,3
Franklin,5/1/2019,3.2
Franklin,6/1/2019,3.8
Franklin,7/1/2019,3.9
Franklin,8/1/2019,3.8
Franklin,9/1/2019,3.5
Franklin,10/1/2019,3.4
Franklin,11/1/2019,3.2
Franklin,12/1/2019,3.2
Franklin,1/1/2020,4
Franklin,2/1/2020,3.7
Franklin,3/1/2020,4
Franklin,4/1/2020,13.9
Franklin,5/1/2020,11.6
Franklin,6/1/2020,10.6
Franklin,7/1/2020,9.1
Franklin,8/1/2020,9.1
