County_Name,State,Labor_Force,Employed,Unemployed,Unemployment_Rate
Adams County, OH,"10,895     ","10,130     ",765     ,7.0     
Allen County, OH,"47,888     ","45,754     ","2,134     ",4.5     
Ashland County, OH,"26,170     ","24,979     ","1,191     ",4.6     
Ashtabula County, OH,"44,406     ","42,086     ","2,320     ",5.2     
Athens County, OH,"27,855     ","26,283     ","1,572     ",5.6     
Auglaize County, OH,"24,634     ","23,828     ",806     ,3.3     
Belmont County, OH,"30,533     ","28,868     ","1,665     ",5.5     
Brown County, OH,"19,445     ","18,403     ","1,042     ",5.4     
Butler County, OH,"193,545     ","185,551     ","7,994     ",4.1     
Carroll County, OH,"12,972     ","12,287     ",685     ,5.3     
Champaign County, OH,"19,901     ","19,144     ",757     ,3.8     
Clark County, OH,"63,076     ","60,202     ","2,874     ",4.6     
Clermont County, OH,"105,988     ","101,651     ","4,337     ",4.1     
Clinton County, OH,"17,549     ","16,630     ",919     ,5.2     
Columbiana County, OH,"47,234     ","44,808     ","2,426     ",5.1     
Coshocton County, OH,"14,405     ","13,519     ",886     ,6.2     
Crawford County, OH,"18,021     ","17,078     ",943     ,5.2     
Cuyahoga County, OH,"616,198     ","586,824     ","29,374     ",4.8     
Darke County, OH,"25,854     ","24,852     ","1,002     ",3.9     
Defiance County, OH,"18,197     ","17,397     ",800     ,4.4     
Delaware County, OH,"109,007     ","105,317     ","3,690     ",3.4     
Erie County, OH,"37,896     ","35,788     ","2,108     ",5.6     
Fairfield County, OH,"77,150     ","74,020     ","3,130     ",4.1     
Fayette County, OH,"14,092     ","13,513     ",579     ,4.1     
Franklin County, OH,"689,443     ","663,145     ","26,298     ",3.8     
Fulton County, OH,"22,320     ","21,342     ",978     ,4.4     
Gallia County, OH,"12,289     ","11,550     ",739     ,6.0     
Geauga County, OH,"49,369     ","47,425     ","1,944     ",3.9     
Greene County, OH,"82,701     ","79,369     ","3,332     ",4.0     
Guernsey County, OH,"18,750     ","17,721     ","1,029     ",5.5     
Hamilton County, OH,"412,629     ","395,700     ","16,929     ",4.1     
Hancock County, OH,"41,351     ","39,942     ","1,409     ",3.4     
Hardin County, OH,"14,016     ","13,405     ",611     ,4.4     
Harrison County, OH,"6,926     ","6,565     ",361     ,5.2     
Henry County, OH,"13,297     ","12,644     ",653     ,4.9     
