County_Name,State,Labor_Force,Employed,Unemployed,Unemployment_Rate
Adams County, OH,"10,717     ","9,984     ",733     ,6.8     
Allen County, OH,"47,866     ","45,937     ","1,929     ",4.0     
Ashland County, OH,"26,801     ","25,687     ","1,114     ",4.2     
Ashtabula County, OH,"44,459     ","42,334     ","2,125     ",4.8     
Athens County, OH,"27,694     ","26,226     ","1,468     ",5.3     
Auglaize County, OH,"24,980     ","24,230     ",750     ,3.0     
Belmont County, OH,"30,153     ","28,469     ","1,684     ",5.6     
Brown County, OH,"19,594     ","18,619     ",975     ,5.0     
Butler County, OH,"195,091     ","187,729     ","7,362     ",3.8     
Carroll County, OH,"12,959     ","12,317     ",642     ,5.0     
Champaign County, OH,"20,033     ","19,295     ",738     ,3.7     
Clark County, OH,"63,253     ","60,520     ","2,733     ",4.3     
Clermont County, OH,"106,832     ","102,846     ","3,986     ",3.7     
Clinton County, OH,"17,682     ","16,849     ",833     ,4.7     
Columbiana County, OH,"47,395     ","45,105     ","2,290     ",4.8     
Coshocton County, OH,"14,377     ","13,536     ",841     ,5.8     
Crawford County, OH,"18,208     ","17,356     ",852     ,4.7     
Cuyahoga County, OH,"614,517     ","588,912     ","25,605     ",4.2     
Darke County, OH,"25,812     ","24,863     ",949     ,3.7     
Defiance County, OH,"18,085     ","17,322     ",763     ,4.2     
Delaware County, OH,"110,349     ","106,887     ","3,462     ",3.1     
Erie County, OH,"37,223     ","35,383     ","1,840     ",4.9     
Fairfield County, OH,"78,021     ","75,118     ","2,903     ",3.7     
Fayette County, OH,"13,869     ","13,330     ",539     ,3.9     
Franklin County, OH,"697,639     ","673,069     ","24,570     ",3.5     
Fulton County, OH,"22,455     ","21,526     ",929     ,4.1     
Gallia County, OH,"12,158     ","11,496     ",662     ,5.4     
Geauga County, OH,"49,294     ","47,586     ","1,708     ",3.5     
Greene County, OH,"83,246     ","80,130     ","3,116     ",3.7     
Guernsey County, OH,"18,623     ","17,607     ","1,016     ",5.5     
Hamilton County, OH,"416,102     ","400,359     ","15,743     ",3.8     
Hancock County, OH,"41,849     ","40,525     ","1,324     ",3.2     
Hardin County, OH,"13,812     ","13,232     ",580     ,4.2     
Harrison County, OH,"6,800     ","6,443     ",357     ,5.3     
Henry County, OH,"13,265     ","12,654     ",611     ,4.6     
Highland County, OH,"17,036     ","16,155     ",881     ,5.2     
Hocking County, OH,"13,084     ","12,484     ",600     ,4.6     
Holmes County, OH,"20,783     ","20,160     ",623     ,3.0     
Huron County, OH,"27,985     ","26,381     ","1,604     ",5.7     
Jackson County, OH,"12,678     ","11,891     ",787     ,6.2     
Jefferson County, OH,"27,729     ","26,101     ","1,628     ",5.9     
Knox County, OH,"31,550     ","30,306     ","1,244     ",3.9     
Lake County, OH,"126,718     ","122,045     ","4,673     ",3.7     
Lawrence County, OH,"23,780     ","22,549     ","1,231     ",5.2     
Licking County, OH,"90,521     ","87,159     ","3,362     ",3.7     
Logan County, OH,"22,865     ","22,036     ",829     ,3.6     
Lorain County, OH,"154,180     ","147,587     ","6,593     ",4.3     
