County,observation_date,Unemployment
Butler,1/1/2010,11.2
Butler,2/1/2010,11
Butler,3/1/2010,10.8
Butler,4/1/2010,10.2
Butler,5/1/2010,9.7
Butler,6/1/2010,10.1
Butler,7/1/2010,10.1
Butler,8/1/2010,9.8
Butler,9/1/2010,9.5
Butler,10/1/2010,9.4
Butler,11/1/2010,9.5
Butler,12/1/2010,9.1
Butler,1/1/2011,10
Butler,2/1/2011,9.6
Butler,3/1/2011,9.2
Butler,4/1/2011,8.7
Butler,5/1/2011,9
Butler,6/1/2011,9.8
Butler,7/1/2011,9.8
Butler,8/1/2011,9.3
Butler,9/1/2011,9
Butler,10/1/2011,8.6
Butler,11/1/2011,8
Butler,12/1/2011,8
Butler,1/1/2012,8.7
Butler,2/1/2012,8.4
Butler,3/1/2012,8.1
Butler,4/1/2012,7.3
Butler,5/1/2012,7.3
Butler,6/1/2012,8
Butler,7/1/2012,8.2
Butler,8/1/2012,7.5
Butler,9/1/2012,7.1
Butler,10/1/2012,7
Butler,11/1/2012,6.9
Butler,12/1/2012,7.4
Butler,1/1/2013,8.8
Butler,2/1/2013,8.1
Butler,3/1/2013,7.6
Butler,4/1/2013,6.9
Butler,5/1/2013,7.2
Butler,6/1/2013,8.1
Butler,7/1/2013,8
Butler,8/1/2013,7.5
Butler,9/1/2013,7.3
Butler,10/1/2013,7.3
Butler,11/1/2013,6.7
Butler,12/1/2013,6.3
Butler,1/1/2014,7
Butler,2/1/2014,6.7
Butler,3/1/2014,6.1
Butler,4/1/2014,5
Butler,5/1/2014,5.2
Butler,6/1/2014,5.8
Butler,7/1/2014,6
Butler,8/1/2014,5.5
Butler,9/1/2014,5.1
Butler,10/1/2014,4.8
Butler,11/1/2014,4.8
Butler,12/1/2014,4.6
Butler,1/1/2015,5.6
Butler,2/1/2015,5.1
Butler,3/1/2015,4.8
Butler,4/1/2015,4.3
Butler,5/1/2015,4.5
Butler,6/1/2015,5
Butler,7/1/2015,4.8
Butler,8/1/2015,4.2
Butler,9/1/2015,4.2
Butler,10/1/2015,4.2
Butler,11/1/2015,4.4
Butler,12/1/2015,4.3
Butler,1/1/2016,5
Butler,2/1/2016,4.8
Butler,3/1/2016,4.6
Butler,4/1/2016,4.3
Butler,5/1/2016,3.9
Butler,6/1/2016,4.8
Butler,7/1/2016,4.6
Butler,8/1/2016,4.6
Butler,9/1/2016,4.7
Butler,10/1/2016,4.5
Butler,11/1/2016,4.2
Butler,12/1/2016,4.4
Butler,1/1/2017,5.3
Butler,2/1/2017,4.9
Butler,3/1/2017,4.3
Butler,4/1/2017,4.1
Butler,5/1/2017,4
Butler,6/1/2017,4.8
Butler,7/1/2017,4.8
Butler,8/1/2017,4.8
Butler,9/1/2017,4.3
Butler,10/1/2017,4.1
Butler,11/1/2017,4
Butler,12/1/2017,3.9
Butler,1/1/2018,4.5
Butler,2/1/2018,4.4
Butler,3/1/2018,4.1
Butler,4/1/2018,3.8
Butler,5/1/2018,3.8
Butler,6/1/2018,4.8
Butler,7/1/2018,4.5
Butler,8/1/2018,4.1
Butler,9/1/2018,3.9
Butler,10/1/2018,3.9
Butler,11/1/2018,3.7
Butler,12/1/2018,4
Butler,1/1/2019,4.5
Butler,2/1/2019,3.9
Butler,3/1/2019,3.7
Butler,4/1/2019,3.1
Butler,5/1/2019,3.3
Butler,6/1/2019,4.2
Butler,7/1/2019,4.4
Butler,8/1/2019,4
Butler,9/1/2019,3.7
Butler,10/1/2019,3.6
Butler,11/1/2019,3.4
Butler,12/1/2019,3.4
Butler,1/1/2020,4.5
Butler,2/1/2020,4.1
Butler,3/1/2020,4.4
Butler,4/1/2020,14.2
Butler,5/1/2020,11.9
Butler,6/1/2020,9.8
Butler,7/1/2020,8.2
Butler,8/1/2020,8.1
