Cuy_Unpl,Franklin_Unpl,Butler_Unpl,Mean
9.3,9.9,11.2,10.13
9.7,9.7,11,10.13
9,9.6,10.8,9.8
8.5,9.1,10.2,9.27
8.4,8.7,9.7,8.93
8.9,9,10.1,9.33
8.9,9,10.1,9.33
8.4,8.7,9.8,8.97
8.1,8.4,9.5,8.67
7.7,8.3,9.4,8.47
7.9,8.3,9.5,8.57
7.5,7.9,9.1,8.17
8.2,8.6,10,8.93
8.4,8.2,9.6,8.73
7.6,7.9,9.2,8.23
7.1,7.5,8.7,7.77
7.5,7.7,9,8.07
8.5,8.4,9.8,8.9
8.2,8.4,9.8,8.8
7.6,8,9.3,8.3
7.5,7.7,9,8.07
7.1,7.3,8.6,7.67
6.6,6.7,8,7.1
6.7,6.6,8,7.1
7.3,7.3,8.7,7.77
7.7,7.1,8.4,7.73
7,6.7,8.1,7.27
6.3,6.1,7.3,6.57
6.7,6.1,7.3,6.7
7.5,6.7,8,7.4
7.4,6.8,8.2,7.47
6.8,6.4,7.5,6.9
6.3,6,7.1,6.47
6.2,5.9,7,6.37
5.9,5.8,6.9,6.2
6.4,6.1,7.4,6.63
7.5,7.4,8.8,7.9
7.8,6.9,8.1,7.6
6.8,6.5,7.6,6.97
6.2,6,6.9,6.37
6.8,6.3,7.2,6.77
7.7,7,8.1,7.6
7.4,6.8,8,7.4
7,6.5,7.5,7
6.7,6.5,7.3,6.83
6.8,6.3,7.3,6.8
6.3,5.8,6.7,6.27
6.3,5.3,6.3,5.97
7.2,6.1,7,6.77
7.6,5.8,6.7,6.7
6.8,5.4,6.1,6.1
5.7,4.4,5,5.03
6.3,4.7,5.2,5.4
6.8,5.1,5.8,5.9
6.8,5.2,6,6
6.3,4.9,5.5,5.57
5.5,4.6,5.1,5.07
5.3,4.3,4.8,4.8
5.1,4.2,4.8,4.7
5.1,4,4.6,4.57
5.9,4.9,5.6,5.47
6.1,4.4,5.1,5.2
5.4,4.2,4.8,4.8
5,3.9,4.3,4.4
5.6,4.1,4.5,4.73
5.7,4.4,5,5.03
5.5,4.2,4.8,4.83
4.8,3.8,4.2,4.27
4.5,3.8,4.2,4.17
4.3,3.9,4.2,4.13
4.3,3.9,4.4,4.2
4.4,3.9,4.3,4.2
5.1,4.5,5,4.87
5.7,4.3,4.8,4.93
5.5,4.3,4.6,4.8
5.1,3.9,4.3,4.43
5.1,3.7,3.9,4.23
5.9,4.3,4.8,5
5.8,4.2,4.6,4.87
5.6,4.2,4.6,4.8
5.5,4.3,4.7,4.83
5.4,4.2,4.5,4.7
5.1,3.9,4.2,4.4
5.5,4.1,4.4,4.67
6.4,4.8,5.3,5.5
6.8,4.5,4.9,5.4
5.9,4.1,4.3,4.77
5.4,3.7,4.1,4.4
5.6,3.8,4.1,4.5
6.1,4.4,4.8,5.1
6,4.3,4.8,5.03
5.8,4.4,4.8,5
5.2,4,4.3,4.5
4.6,3.8,4.1,4.17
4.5,3.7,4,4.07
4.5,3.6,3.9,4
5.1,4,4.5,4.53
5.6,3.9,4.4,4.63
5,3.8,4.1,4.3
4.6,3.6,3.8,4
4.7,3.5,3.8,4
5.6,4.4,4.8,4.93
5.2,4,4.5,4.57
4.7,3.9,4.1,4.23
4.3,3.7,3.9,3.97
4.1,3.7,3.9,3.9
3.9,3.5,3.7,3.7
4.2,3.8,4,4
4.8,4.2,4.5,4.5
4.8,3.6,3.9,4.1
4.4,3.5,3.7,3.87
3.8,3,3.1,3.3
4,3.2,3.3,3.5
4.7,3.8,4.2,4.23
4.8,3.9,4.4,4.37
4.2,3.8,4,4
3.9,3.5,3.7,3.7
3.5,3.4,3.6,3.5
3.5,3.2,3.4,3.37
3.6,3.2,3.4,3.4
4.7,4,4.5,4.4
5.1,3.7,4.1,4.3
7.2,4,4.4,5.2
22.9,13.9,14.2,17
18.1,11.6,11.9,13.87
15.2,10.6,9.8,11.87
13.1,9.1,8.2,10.13
11.6,9.1,8.1,9.6
