obs_date,Cuy_Unpl,Franklin_Unpl,Butler_Unpl,Mean,
1/1/2010,9.3,9.9,11.2,10.13,
2/1/2010,9.7,9.7,11,10.13,
3/1/2010,9,9.6,10.8,9.80,
4/1/2010,8.5,9.1,10.2,9.27,
5/1/2010,8.4,8.7,9.7,8.93,
6/1/2010,8.9,9,10.1,9.33,
7/1/2010,8.9,9,10.1,9.33,
8/1/2010,8.4,8.7,9.8,8.97,
9/1/2010,8.1,8.4,9.5,8.67,
10/1/2010,7.7,8.3,9.4,8.47,
11/1/2010,7.9,8.3,9.5,8.57,
12/1/2010,7.5,7.9,9.1,8.17,
1/1/2011,8.2,8.6,10,8.93,
2/1/2011,8.4,8.2,9.6,8.73,
3/1/2011,7.6,7.9,9.2,8.23,
4/1/2011,7.1,7.5,8.7,7.77,
5/1/2011,7.5,7.7,9,8.07,
6/1/2011,8.5,8.4,9.8,8.90,
7/1/2011,8.2,8.4,9.8,8.80,
8/1/2011,7.6,8,9.3,8.30,
9/1/2011,7.5,7.7,9,8.07,
10/1/2011,7.1,7.3,8.6,7.67,
11/1/2011,6.6,6.7,8,7.10,
12/1/2011,6.7,6.6,8,7.10,
1/1/2012,7.3,7.3,8.7,7.77,
2/1/2012,7.7,7.1,8.4,7.73,
3/1/2012,7,6.7,8.1,7.27,
4/1/2012,6.3,6.1,7.3,6.57,
5/1/2012,6.7,6.1,7.3,6.70,
6/1/2012,7.5,6.7,8,7.40,
7/1/2012,7.4,6.8,8.2,7.47,
8/1/2012,6.8,6.4,7.5,6.90,
9/1/2012,6.3,6,7.1,6.47,
10/1/2012,6.2,5.9,7,6.37,
11/1/2012,5.9,5.8,6.9,6.20,
12/1/2012,6.4,6.1,7.4,6.63,
1/1/2013,7.5,7.4,8.8,7.90,
2/1/2013,7.8,6.9,8.1,7.60,
3/1/2013,6.8,6.5,7.6,6.97,
4/1/2013,6.2,6,6.9,6.37,
5/1/2013,6.8,6.3,7.2,6.77,
6/1/2013,7.7,7,8.1,7.60,
7/1/2013,7.4,6.8,8,7.40,
8/1/2013,7,6.5,7.5,7.00,
9/1/2013,6.7,6.5,7.3,6.83,
10/1/2013,6.8,6.3,7.3,6.80,
11/1/2013,6.3,5.8,6.7,6.27,
